SYMBOL,TOTTRDQTY,TIMESTAMP
SBIN,61165997,16-Apr-20
SHREECEM,112627,16-Apr-20
SIEMENS,709225,16-Apr-20
SRF,382068,16-Apr-20
SRTRANSFIN,4413970,16-Apr-20
SUNPHARMA,16933112,16-Apr-20
SUNTV,4515582,16-Apr-20
TATACHEM,6163956,16-Apr-20
TATACONSUM,8211111,16-Apr-20
TATAMOTORS,47910556,16-Apr-20
TATAPOWER,9452841,16-Apr-20
TATASTEEL,17248806,16-Apr-20
TCS,6245583,16-Apr-20
TECHM,7001494,16-Apr-20
TITAN,6251881,16-Apr-20
TORNTPHARM,986137,16-Apr-20
TORNTPOWER,893203,16-Apr-20
TVSMOTOR,6728570,16-Apr-20
UBL,403453,16-Apr-20
UJJIVAN,4404744,16-Apr-20
ULTRACEMCO,617281,16-Apr-20
UPL,10132741,16-Apr-20
VEDL,54489625,16-Apr-20
VOLTAS,3313118,16-Apr-20
WIPRO,21690456,16-Apr-20
YESBANK,18765964,16-Apr-20
ZEEL,18112295,16-Apr-20
ACC,1614409,17-Apr-20
ADANIENT,2384033,17-Apr-20
ADANIPORTS,3470271,17-Apr-20
ADANIPOWER,12247415,17-Apr-20
AMARAJABAT,1244146,17-Apr-20
AMBUJACEM,3706603,17-Apr-20
APOLLOHOSP,1718048,17-Apr-20
APOLLOTYRE,8133307,17-Apr-20
ASHOKLEY,27585071,17-Apr-20
ASIANPAINT,1398782,17-Apr-20
AUROPHARMA,8110232,17-Apr-20
AXISBANK,47831855,17-Apr-20
BAJAJ-AUTO,690554,17-Apr-20
BAJAJFINSV,1352223,17-Apr-20
BAJFINANCE,10191558,17-Apr-20
BALKRISIND,1184820,17-Apr-20
BANDHANBNK,23292305,17-Apr-20
BANKBARODA,35113747,17-Apr-20
BATAINDIA,1457555,17-Apr-20
BEL,19718808,17-Apr-20
BERGEPAINT,948858,17-Apr-20
BHARATFORG,11341639,17-Apr-20
BHARTIARTL,16127623,17-Apr-20
BHEL,29750187,17-Apr-20
BIOCON,10074247,17-Apr-20
BOSCHLTD,28346,17-Apr-20
BPCL,4420519,17-Apr-20
BRITANNIA,705271,17-Apr-20
CADILAHC,7835392,17-Apr-20
CANBK,16638116,17-Apr-20
CENTURYTEX,2182190,17-Apr-20
CESC,1933236,17-Apr-20
CHOLAFIN,11964947,17-Apr-20
CIPLA,8304296,17-Apr-20
COALINDIA,7094930,17-Apr-20
COLPAL,589457,17-Apr-20
CONCOR,2008707,17-Apr-20
CUMMINSIND,1229378,17-Apr-20
DABUR,3429733,17-Apr-20
DIVISLAB,1326980,17-Apr-20
DLF,30164652,17-Apr-20
DRREDDY,1814922,17-Apr-20
EICHERMOT,565684,17-Apr-20
EQUITAS,25884696,17-Apr-20
ESCORTS,5154023,17-Apr-20
EXIDEIND,2738906,17-Apr-20
FEDERALBNK,41150967,17-Apr-20
GAIL,11384010,17-Apr-20
GLENMARK,6631166,17-Apr-20
GMRINFRA,14755287,17-Apr-20
GODREJCP,2264518,17-Apr-20
GODREJPROP,325474,17-Apr-20
GRASIM,2730995,17-Apr-20
HAVELLS,3634673,17-Apr-20
HCLTECH,4706460,17-Apr-20
HDFC,8954559,17-Apr-20
HDFCBANK,27941831,17-Apr-20
HDFCLIFE,6525356,17-Apr-20
HEROMOTOCO,1327772,17-Apr-20
HINDALCO,14577305,17-Apr-20
HINDPETRO,3891768,17-Apr-20
HINDUNILVR,4540967,17-Apr-20
IBULHSGFIN,82091441,17-Apr-20
ICICIBANK,69008019,17-Apr-20
ICICIPRULI,5684533,17-Apr-20
IDEA,536920091,17-Apr-20
IDFCFIRSTB,42576289,17-Apr-20
IGL,3919802,17-Apr-20
INDIGO,2810726,17-Apr-20
INDUSINDBK,26188773,17-Apr-20
INFRATEL,4417192,17-Apr-20
INFY,8878372,17-Apr-20
IOC,9160107,17-Apr-20
ITC,26669272,17-Apr-20
JINDALSTEL,18261618,17-Apr-20
JSWSTEEL,10104852,17-Apr-20
JUBLFOOD,1899614,17-Apr-20
JUSTDIAL,3952243,17-Apr-20
KOTAKBANK,8585462,17-Apr-20
L&TFH,43283797,17-Apr-20
LICHSGFIN,7112575,17-Apr-20
LT,5827735,17-Apr-20
LUPIN,3328245,17-Apr-20
M&M,6178611,17-Apr-20
M&MFIN,13148854,17-Apr-20
MANAPPURAM,14765229,17-Apr-20
MARICO,3122457,17-Apr-20
MARUTI,2192907,17-Apr-20
MCDOWELL-N,6951584,17-Apr-20
MFSL,1816629,17-Apr-20
MGL,1364794,17-Apr-20
MINDTREE,555017,17-Apr-20
MOTHERSUMI,67135739,17-Apr-20
MRF,15847,17-Apr-20
MUTHOOTFIN,4064072,17-Apr-20
NATIONALUM,7136537,17-Apr-20
NAUKRI,516656,17-Apr-20
NCC,42936292,17-Apr-20
NESTLEIND,187271,17-Apr-20
NIITTECH,475932,17-Apr-20
NMDC,5696756,17-Apr-20
NTPC,16969678,17-Apr-20
