SYMBOL,EXPIRY_DT,OPEN_INT,CHG_IN_OI,TIMESTAMP,HighCOI%
BANKNIFTY,05-Mar-2020,3940.0,260.0,05-MAR-2020,6.598984771573605
BANKNIFTY,05-Mar-2020,24820.0,-7020.0,05-MAR-2020,-28.283642224012894
BANKNIFTY,05-Mar-2020,7000.0,-340.0,05-MAR-2020,-4.857142857142857
BANKNIFTY,05-Mar-2020,8840.0,600.0,05-MAR-2020,6.787330316742081
BANKNIFTY,05-Mar-2020,42760.0,-9420.0,05-MAR-2020,-22.029934518241348
BANKNIFTY,05-Mar-2020,12240.0,-2140.0,05-MAR-2020,-17.483660130718953
BANKNIFTY,05-Mar-2020,158800.0,-12620.0,05-MAR-2020,-7.947103274559194
BANKNIFTY,05-Mar-2020,13060.0,-6560.0,05-MAR-2020,-50.22970903522205
BANKNIFTY,05-Mar-2020,13140.0,-19460.0,05-MAR-2020,-148.09741248097413
BANKNIFTY,05-Mar-2020,24380.0,-20580.0,05-MAR-2020,-84.41345365053323
BANKNIFTY,05-Mar-2020,33480.0,-12140.0,05-MAR-2020,-36.26045400238949
BANKNIFTY,05-Mar-2020,221740.0,-23000.0,05-MAR-2020,-10.372508343104537
BANKNIFTY,05-Mar-2020,38700.0,-26680.0,05-MAR-2020,-68.9405684754522
BANKNIFTY,05-Mar-2020,196500.0,118020.0,05-MAR-2020,60.06106870229008
BANKNIFTY,05-Mar-2020,164480.0,44580.0,05-MAR-2020,27.10359922178988
BANKNIFTY,05-Mar-2020,369260.0,222340.0,05-MAR-2020,60.21231652494178
BANKNIFTY,05-Mar-2020,764740.0,180280.0,05-MAR-2020,23.574025158877525
BANKNIFTY,05-Mar-2020,228540.0,75080.0,05-MAR-2020,32.85201715235845
BANKNIFTY,05-Mar-2020,352120.0,202440.0,05-MAR-2020,57.491764171305235
BANKNIFTY,05-Mar-2020,313040.0,154620.0,05-MAR-2020,49.393048811653465
BANKNIFTY,05-Mar-2020,476980.0,342100.0,05-MAR-2020,71.72208478342907
BANKNIFTY,05-Mar-2020,905200.0,585200.0,05-MAR-2020,64.64869642068052
BANKNIFTY,05-Mar-2020,502040.0,421180.0,05-MAR-2020,83.89371364831487
BANKNIFTY,05-Mar-2020,623660.0,518340.0,05-MAR-2020,83.11259340025013
BANKNIFTY,05-Mar-2020,1593700.0,1520960.0,05-MAR-2020,95.43577837736086
BANKNIFTY,05-Mar-2020,147200.0,116700.0,05-MAR-2020,79.27989130434783
BANKNIFTY,05-Mar-2020,143000.0,-11880.0,05-MAR-2020,-8.307692307692308
BANKNIFTY,05-Mar-2020,42100.0,1200.0,05-MAR-2020,2.8503562945368173
BANKNIFTY,05-Mar-2020,36820.0,320.0,05-MAR-2020,0.8690928843020097
BANKNIFTY,05-Mar-2020,28480.0,-16780.0,05-MAR-2020,-58.9185393258427
BANKNIFTY,05-Mar-2020,27200.0,-6020.0,05-MAR-2020,-22.13235294117647
BANKNIFTY,05-Mar-2020,76940.0,-69660.0,05-MAR-2020,-90.53808162204315
BANKNIFTY,05-Mar-2020,31460.0,-2460.0,05-MAR-2020,-7.819453273998729
BANKNIFTY,05-Mar-2020,31600.0,-2640.0,05-MAR-2020,-8.354430379746836
BANKNIFTY,05-Mar-2020,46620.0,-2120.0,05-MAR-2020,-4.547404547404548
BANKNIFTY,05-Mar-2020,36880.0,-660.0,05-MAR-2020,-1.7895878524945772
BANKNIFTY,05-Mar-2020,54320.0,-32360.0,05-MAR-2020,-59.57290132547865
BANKNIFTY,05-Mar-2020,9140.0,-3360.0,05-MAR-2020,-36.76148796498906
BANKNIFTY,05-Mar-2020,13380.0,-5880.0,05-MAR-2020,-43.946188340807176
BANKNIFTY,05-Mar-2020,12880.0,-1080.0,05-MAR-2020,-8.385093167701864
